municipio,uf,codigo_ibge,latitude,longitude,aeroporto_mais_proximo,codigo_iata,codigo_icao,codigo_principal,distancia_km
São Sebastião Do Oeste,MG,3164605.0,-20.274095195186895,-45.00313398701594,Brigadeiro Cabral Airport,DIQ,SNDV,DIQ,17.27
São Sebastião Do Paraíso,MG,3164704.0,-20.9180654486469,-46.986471825605015,Tenente Lund Pressoto Airport,FRC,SIMK,FRC,54.88
São Sebastião Do Rio Preto,MG,3164803.0,-19.2857666703185,-43.17473442231363,Usiminas Airport,IPN,SBIP,IPN,74.95
São Sebastião Do Rio Verde,MG,3164902.0,-22.21505622790555,-44.977736053397166,Resende Airport,REZ,SDRS,REZ,58.95
São Tiago,MG,3165008.0,-20.900946349895897,-44.50399244273067,Das Bandeirinhas Airport,\N,SNKF,\N,75.62
São Tomás De Aquino,MG,3165107.0,-20.78499438704315,-47.09678297187179,Tenente Lund Pressoto Airport,FRC,SIMK,FRC,36.68
São Thomé Das Letras,MG,3165206.0,-21.72072278022525,-44.98700845462167,Major Brigadeiro Trompowsky Airport,VAG,SBVG,VAG,52.31
São Vicente De Minas,MG,3165305.0,-21.6974718375073,-44.4546835035525,Major Brigadeiro Doorgal Borges Airport,\N,SBBQ,\N,86.25
Sapucaí-Mirim,MG,3165404.0,-22.7515963809342,-45.740925737555784,Base de Aviação de Taubaté Airport,QHP,SBTA,QHP,39.5
Sardoá,MG,3165503.0,-18.78326534687605,-42.36612922289352,Coronel Altino Machado de Oliveira Airport,GVR,SBGV,GVR,42.28
Sarzedo,MG,3165537.0,-20.0345349207995,-44.14586736127662,Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH,PLU,28.85
Setubinha,MG,3165552.0,-17.59701901670388,-42.16643831078703,Juscelino Kubitscheck Airport,TFL,SNTO,TFL,76.54
Sem-Peixe,MG,3165560.0,-20.1025363692222,-42.84190173020933,Usiminas Airport,IPN,SBIP,IPN,79.44
Senador Amaral,MG,3165578.0,-22.588721566565802,-46.18023359379794,Pouso Alegre Airport,PPY,SNZA,PPY,42.77
Senador Cortes,MG,3165602.0,-21.802516957544047,-42.944332099396426,Zona da Mata Regional Airport,IZA,SDZY,IZA,39.93
Senador Firmino,MG,3165701.0,-20.91805960031505,-43.10413039327759,Zona da Mata Regional Airport,IZA,SDZY,IZA,66.55
Senador José Bento,MG,3165800.0,-22.16660667768775,-46.17947269583331,Pouso Alegre Airport,PPY,SNZA,PPY,30.07
Senador Modestino Gonçalves,MG,3165909.0,-17.9460246708404,-43.222975471485775,Diamantina Airport,DTI,SNDT,DTI,55.25
Senhora De Oliveira,MG,3166006.0,-20.793899763181425,-43.33773199401507,Das Bandeirinhas Airport,\N,SNKF,\N,48.19
Senhora Do Porto,MG,3166105.0,-18.898008019968398,-43.081755720779086,Usiminas Airport,IPN,SBIP,IPN,89.16
