Ano;Cód.;Município;Produto Interno Bruto a preços correntes (Mil Reais);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%)
2008;1505502;Paragominas (PA);937220;35,94
2008;1505536;Parauapebas (PA);6522232;18,82
2008;1505551;Pau D'Arco (PA);32613;15,29
2008;1505601;Peixe-Boi (PA);22627;18,56
2008;1505635;Piçarra (PA);68830;16,68
2008;1505650;Placas (PA);75707;13,73
2008;1505700;Ponta de Pedras (PA);74305;14,11
2008;1505809;Portel (PA);213381;20,14
2008;1505908;Porto de Moz (PA);81689;19,08
2008;1506005;Prainha (PA);106026;12,26
2008;1506104;Primavera (PA);26520;23,13
2008;1506112;Quatipuru (PA);36122;15,94
2008;1506138;Redenção (PA);659062;58,43
2008;1506161;Rio Maria (PA);167306;31,96
2008;1506187;Rondon do Pará (PA);264783;31,57
2008;1506195;Rurópolis (PA);109583;19,32
2008;1506203;Salinópolis (PA);143207;52,48
2008;1506302;Salvaterra (PA);57750;29,96
2008;1506351;Santa Bárbara do Pará (PA);67906;17,4
2008;1506401;Santa Cruz do Arari (PA);23628;11,9
2008;1506500;Santa Izabel do Pará (PA);291256;36,61
2008;1506559;Santa Luzia do Pará (PA);56656;21,13
2008;1506583;Santa Maria das Barreiras (PA);93468;12,88
2008;1506609;Santa Maria do Pará (PA);126018;28,77
2008;1506708;Santana do Araguaia (PA);293058;25,95
2008;1506807;Santarém (PA);1856947;50,17
2008;1506906;Santarém Novo (PA);17982;16,23
2008;1507003;Santo Antônio do Tauá (PA);132090;17,3
2008;1507102;São Caetano de Odivelas (PA);47003;19,03
2008;1507151;São Domingos do Araguaia (PA);80553;29,82
2008;1507201;São Domingos do Capim (PA);90541;18,51
2008;1507300;São Félix do Xingu (PA);336218;19,71
2008;1507409;São Francisco do Pará (PA);53645;29,27
2008;1507458;São Geraldo do Araguaia (PA);126749;29,23
2008;1507466;São João da Ponta (PA);19297;14,47
2008;1507474;São João de Pirabas (PA);56729;21,91
2008;1507508;São João do Araguaia (PA);40203;19,43
2008;1507607;São Miguel do Guamá (PA);218275;25,93
2008;1507706;São Sebastião da Boa Vista (PA);64718;12,77
2008;1507755;Sapucaia (PA);44114;25,69
2008;1507805;Senador José Porfírio (PA);53209;17,11
2008;1507904;Soure (PA);67988;31,31
2008;1507953;Tailândia (PA);313599;29,67
2008;1507961;Terra Alta (PA);27573;20,89
2008;1507979;Terra Santa (PA);48418;24,22
2008;1508001;Tomé-Açu (PA);290824;27,53
2008;1508035;Tracuateua (PA);82601;14,24
2008;1508050;Trairão (PA);80252;22,93
2008;1508084;Tucumã (PA);252732;41,04
2008;1508100;Tucuruí (PA);2457002;10,97
2008;1508126;Ulianópolis (PA);451127;14,22
2008;1508159;Uruará (PA);243204;26,37
2008;1508209;Vigia (PA);142933;30,07
2008;1508308;Viseu (PA);178444;16,14
2008;1508357;Vitória do Xingu (PA);62034;17,8
2008;1508407;Xinguara (PA);384058;44,38
2008;1600055;Serra do Navio (AP);36827;26,21
2008;1600105;Amapá (AP);63364;18,87
2008;1600154;Pedra Branca do Amapari (AP);119094;18,6
2008;1600204;Calçoene (AP);65082;19,15
2008;1600212;Cutias (AP);31204;9,34
2008;1600238;Ferreira Gomes (AP);51164;13,19
2008;1600253;Itaubal (AP);26140;9,1
2008;1600279;Laranjal do Jari (AP);301435;28,07
2008;1600303;Macapá (AP);4711508;49,34
2008;1600402;Mazagão (AP);111697;13,05
2008;1600501;Oiapoque (AP);170285;29,42
2008;1600535;Porto Grande (AP);147415;15,56
2008;1600550;Pracuúba (AP);26978;7,03
2008;1600600;Santana (AP);900487;32,07
2008;1600709;Tartarugalzinho (AP);101898;8,76
2008;1600808;Vitória do Jari (AP);85835;14,38
2008;1700251;Abreulândia (TO);13259;17,18
2008;1700301;Aguiarnópolis (TO);52954;47,73
2008;1700350;Aliança do Tocantins (TO);32721;26,43
2008;1700400;Almas (TO);43633;18,54
2008;1700707;Alvorada (TO);86304;35,78
2008;1701002;Ananás (TO);49249;31,08
2008;1701051;Angico (TO);15985;16,55
2008;1701101;Aparecida do Rio Negro (TO);22731;20,44
2008;1701309;Aragominas (TO);25455;13,61
2008;1701903;Araguacema (TO);27230;21,99
2008;1702000;Araguaçu (TO);73269;28,58
2008;1702109;Araguaína (TO);1466467;58,44
2008;1702158;Araguanã (TO);28523;19,38
2008;1702208;Araguatins (TO);125459;34,63
2008;1702307;Arapoema (TO);44667;27,71
2008;1702406;Arraias (TO);69617;22,11
2008;1702554;Augustinópolis (TO);79699;36,66
2008;1702703;Aurora do Tocantins (TO);18229;18,91
2008;1702901;Axixá do Tocantins (TO);40252;24,72
2008;1703008;Babaçulândia (TO);44107;13,4
2008;1703057;Bandeirantes do Tocantins (TO);40759;12,54
2008;1703073;Barra do Ouro (TO);17899;13,37
2008;1703107;Barrolândia (TO);33391;32,39
2008;1703206;Bernardo Sayão (TO);33068;18,41
2008;1703305;Bom Jesus do Tocantins (TO);19848;15,45
2008;1703602;Brasilândia do Tocantins (TO);17496;17,57
2008;1703701;Brejinho de Nazaré (TO);37302;19,01
2008;1703800;Buriti do Tocantins (TO);33649;25,79
2008;1703826;Cachoeirinha (TO);10007;17,21
2008;1703842;Campos Lindos (TO);126804;31,92
2008;1703867;Cariri do Tocantins (TO);52899;54,81
2008;1703883;Carmolândia (TO);16229;19
2008;1703891;Carrasco Bonito (TO);13681;17,35
2008;1703909;Caseara (TO);22780;20,92
2008;1704105;Centenário (TO);15044;14,89
2008;1704600;Chapada de Areia (TO);7861;12,51
2008;1705102;Chapada da Natividade (TO);24166;15,88
